RSI_buy,RSI_sell,pd_ratio,final_value,bankrupt,activity_pct,output_dir
10,60,5.075030258721993,1007331.8581626002,False,89.75501113585746,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy10_sell60_20251104_041808
10,65,5.545435014039466,1007162.8216574003,False,89.75501113585746,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy10_sell65_20251104_041808
10,70,4.788528207287061,1004588.8961389997,False,89.75501113585746,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy10_sell70_20251104_041808
10,75,2.4189090164787084,1000958.670017,False,89.75501113585746,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy10_sell75_20251104_041808
10,80,5.26724137931035,1000060.1479999999,False,24.0,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy10_sell80_20251104_041808
10,90,,,True,,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy10_sell90_20251104_041808
20,60,5.094239417584236,1007359.6781626,False,89.75501113585746,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy20_sell60_20251104_041808
20,65,5.567097507101273,1007190.6416574002,False,89.75501113585746,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy20_sell65_20251104_041808
20,70,4.817547651862629,1004616.7161389998,False,89.75501113585746,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy20_sell70_20251104_041808
20,75,2.4897294797459217,1000986.490017,False,89.75501113585746,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy20_sell75_20251104_041808
20,80,7.724137931034489,1000087.9679999999,False,25.333333333333332,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy20_sell80_20251104_041808
20,90,5.816326530612245,1000027.82,False,1.3333333333333333,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy20_sell90_20251104_041808
25,60,5.0769647390878605,1007120.2439393997,False,89.75501113585746,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy25_sell60_20251104_041808
25,65,5.396930590193293,1006971.4074341998,False,89.75501113585746,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy25_sell65_20251104_041808
25,70,4.586050017052203,1004388.9619157995,False,89.75501113585746,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy25_sell70_20251104_041808
25,75,1.8657203881530198,1000735.5557937998,False,89.75501113585746,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy25_sell75_20251104_041808
25,80,-0.006326620682198443,999989.6357767999,False,74.61024498886414,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy25_sell80_20251104_041808
25,90,-0.05636298045409779,999929.4877768,False,74.61024498886414,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy25_sell90_20251104_041808
30,60,4.086097181557611,1005702.2868307995,False,90.42316258351893,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy30_sell60_20251104_041808
30,65,4.305250597206586,1005546.0743255998,False,90.42316258351893,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy30_sell65_20251104_041808
30,70,3.446574961184445,1002925.3348071995,False,90.42316258351893,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy30_sell70_20251104_041808
30,75,-0.3400455932621317,999485.3006851998,False,90.42316258351893,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy30_sell75_20251104_041808
30,80,0.14016520335816932,1000137.7426681998,False,90.42316258351893,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy30_sell80_20251104_041808
30,90,0.12602779282167395,1000122.9346681999,False,90.42316258351893,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy30_sell90_20251104_041808
35,60,5.242527410048226,1005762.8987856003,False,94.65478841870824,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy35_sell60_20251104_041808
35,65,5.05402159084816,1005565.6222804002,False,94.65478841870824,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy35_sell65_20251104_041808
35,70,4.766838191534318,1003087.7667619999,False,94.65478841870824,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy35_sell70_20251104_041808
35,75,-0.23812349155758966,999557.20064,False,94.65478841870824,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy35_sell75_20251104_041808
35,80,0.20350313018659216,1000241.6506230002,False,94.65478841870824,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy35_sell80_20251104_041808
35,90,0.18494935194507686,1000216.8906230003,False,94.65478841870824,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy35_sell90_20251104_041808
40,60,5.101385760272328,1005607.1256740006,False,94.87750556792874,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy40_sell60_20251104_041808
40,65,4.9069072700977285,1005400.8491688003,False,94.87750556792874,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy40_sell65_20251104_041808
40,70,4.225982799575141,1002687.0936504004,False,94.87750556792874,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy40_sell70_20251104_041808
40,75,-0.3778959166873716,999121.9475284002,False,94.87750556792874,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy40_sell75_20251104_041808
40,80,-0.0706725948773637,999804.1395114005,False,94.87750556792874,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy40_sell80_20251104_041808
40,90,-0.07664091427923307,999791.5095114005,False,94.87750556792874,/Users/dizzychan/Desktop/BT396_Version_0.1.0/tests/RSI_buy40_sell90_20251104_041808
